Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount,
1/6/2023,1/6/2023,1/6/2023,,ACH Deposit,ACH,,,$75.00 ,
1/3/2023,1/3/2023,1/5/2023,NOBL,"ProShares S&P 500 Dividend Aristocrats ETF
CUSIP: 74348A467
order batcher",Buy,0.029179,$89.79 ,($2.62),
12/30/2022,12/30/2022,12/30/2022,NOBL,Cash Div: R/D 2022-12-23 P/D 2022-12-30 - 4.361623 shares at 0.60037,CDIV,,,$2.62 ,
12/27/2022,12/27/2022,12/29/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.008564,$350.28 ,($3.00),
12/27/2022,12/27/2022,12/29/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.00404,$210.39 ,($0.85),
12/23/2022,12/23/2022,12/23/2022,VOOG,Cash Div: R/D 2022-12-21 P/D 2022-12-23 - 1.460551 shares at 0.5848,CDIV,,,$0.85 ,
12/23/2022,12/23/2022,12/23/2022,VOO,Cash Div: R/D 2022-12-21 P/D 2022-12-23 - 1.796675 shares at 1.6717,CDIV,,,$3.00 ,
12/23/2022,12/23/2022,12/28/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.06298,$238.17 ,($15.00),
12/23/2022,12/23/2022,12/28/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.085411,$351.24 ,($30.00),
12/23/2022,12/23/2022,12/28/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.14173,$211.67 ,($30.00),
12/23/2022,12/23/2022,12/23/2022,,ACH Deposit,ACH,,,$75.00 ,
12/23/2022,12/23/2022,12/28/2022,RWR,"SPDR Dow Jones REIT ETF
CUSIP: 78464A607
order batcher",Buy,0.010698,$86.93 ,($0.93),
12/22/2022,12/22/2022,12/22/2022,RWR,Cash Div: R/D 2022-12-20 P/D 2022-12-22 - 0.863971 shares at 1.074089,CDIV,,,$0.93 ,
12/14/2022,12/14/2022,12/16/2022,UNH,"UnitedHealth
CUSIP: 91324P102
order batcher",Buy,0.000571,$542.00 ,($0.31),
12/13/2022,12/13/2022,12/13/2022,UNH,Cash Div: R/D 2022-12-05 P/D 2022-12-13 - 0.186568 shares at 1.65,CDIV,,,$0.31 ,
12/9/2022,12/9/2022,12/13/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.135275,$221.77 ,($30.00),
12/9/2022,12/9/2022,12/13/2022,VOO,"Vanguard S&P 500 ETF
CUSIP: 922908363
order batcher",Buy,0.08239,$364.12 ,($30.00),
12/9/2022,12/9/2022,12/13/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.060691,$247.15 ,($15.00),
12/9/2022,12/9/2022,12/9/2022,,ACH Deposit,ACH,,,$75.00 ,
12/9/2022,12/9/2022,12/13/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.016628,$246.57 ,($4.10),
12/8/2022,12/8/2022,12/8/2022,MSFT,Cash Div: R/D 2022-11-17 P/D 2022-12-08 - 6.027835 shares at 0.68,CDIV,,,$4.10 ,
11/25/2022,11/25/2022,11/29/2022,VOOG,"Vanguard S&P 500 Growth ETF
CUSIP: 921932505
order batcher",Buy,0.133362,$224.95 ,($30.00),
11/25/2022,11/25/2022,11/29/2022,MSFT,"Microsoft
CUSIP: 594918104
order batcher",Buy,0.060493,$247.96 ,($15.00),
